Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""AHI/_include/census_stm""), [:], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:35:27,2019-12-06 11:36:00,33.042s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:36:00,2019-12-06 11:36:09,9.573s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToDetail_stm""), [""carrier"":""nationalgeneral""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:36:09,2019-12-06 11:36:16,6.774s,PASSED
"callTestCase(findTestCase(""AHI/_include/apply_stm""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:36:16,2019-12-06 11:36:24,8.159s,PASSED
"callTestCase(findTestCase(""AHI/_include/goToEnd_stm_autofill""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:36:24,2019-12-06 11:37:38,1m - 13.259s,PASSED
,,,,,,,
Test Cases/AHI/stm/Aspen,Safari 11,,,2019-12-06 11:37:38,2019-12-06 11:38:27,49.649s,FAILED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""stm"", ""carrierName"":""Aspen""], CONTINUE_ON_FAILURE)",Safari 11,,,2019-12-06 11:37:38,2019-12-06 11:37:38,0.074s,PASSED
i = 0,Safari 11,,,2019-12-06 11:37:38,2019-12-06 11:37:38,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [:], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:37:38,2019-12-06 11:37:45,7.281s,PASSED
"callTestCase(findTestCase(""AHI/_include/census_stm""), [""zipcode"":""60602""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:37:45,2019-12-06 11:38:02,16.702s,PASSED
"callTestCase(findTestCase(""AHI/_include/filter_stm""), [""carrier"":""aspen""], STOP_ON_FAILURE)",Safari 11,,,2019-12-06 11:38:02,2019-12-06 11:38:27,25.212s,FAILED
