Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/HP/Short Term/STM,Safari 11,,,2020-03-05 11:19:32,2020-03-05 11:21:24,1m - 51.862s,PASSED
now = new java.util.Date(),Safari 11,,,2020-03-05 11:19:33,2020-03-05 11:19:33,0.000s,PASSED
"mydate = now.format(""yyyyMMdd_HHmmss"")",Safari 11,,,2020-03-05 11:19:33,2020-03-05 11:19:33,0.000s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenPath""), [""productLine"":""HP"", ""carrierName"":""STM""], CONTINUE_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:33,2020-03-05 11:19:33,0.081s,PASSED
i = 0,Safari 11,,,2020-03-05 11:19:33,2020-03-05 11:19:33,0.001s,PASSED
"callTestCase(findTestCase(""AHI/_include/openWebSite""), [""env"":ENV], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:33,2020-03-05 11:19:49,16.578s,PASSED
driver = getWebDriver(),Safari 11,,,2020-03-05 11:19:49,2020-03-05 11:19:49,0.001s,PASSED
baseUrl = ENV,Safari 11,,,2020-03-05 11:19:49,2020-03-05 11:19:49,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Safari 11,,,2020-03-05 11:19:49,2020-03-05 11:19:49,0.019s,PASSED
"selenium.click(""id=location"")",Safari 11,,,2020-03-05 11:19:49,2020-03-05 11:19:49,0.241s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:49,2020-03-05 11:19:51,1.078s,PASSED
"selenium.type(""id=location"", ""32209"")",Safari 11,,,2020-03-05 11:19:51,2020-03-05 11:19:51,0.102s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:51,2020-03-05 11:19:52,0.984s,PASSED
"selenium.click(""id=findPlans"")",Safari 11,,,2020-03-05 11:19:52,2020-03-05 11:19:52,0.201s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:52,2020-03-05 11:19:53,0.933s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:19:53,2020-03-05 11:19:59,6.071s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:19:59,2020-03-05 11:20:00,1.231s,PASSED
"selenium.click(""//a[contains(text(),'Select')]"")",Safari 11,,,2020-03-05 11:20:00,2020-03-05 11:20:00,0.211s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:20:00,2020-03-05 11:20:09,8.356s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:20:09,2020-03-05 11:20:10,0.889s,PASSED
"selenium.click(""xpath=(//a[contains(text(),'Apply Now')])"")",Safari 11,,,2020-03-05 11:20:10,2020-03-05 11:20:22,12.419s,PASSED
"for ([second = 0, second < 60, (second++)])",Safari 11,,,2020-03-05 11:20:22,2020-03-05 11:21:23,1m - 1.266s,PASSED
"callTestCase(findTestCase(""AHI/_include/get_screenshot""), [:], STOP_ON_FAILURE)",Safari 11,,,2020-03-05 11:21:23,2020-03-05 11:21:24,0.702s,PASSED
